ward,year,race,office,preference,ballots
91,2004,GENERAL,MAYOR,MARVIN PRATT,49
91,2004,GENERAL,MAYOR,TOM BARRETT,535
91,2004,GENERAL,MAYOR,WRITE IN,7
92,2004,GENERAL,MAYOR,MARVIN PRATT,136
92,2004,GENERAL,MAYOR,TOM BARRETT,801
92,2004,GENERAL,MAYOR,WRITE IN,4
93,2004,GENERAL,MAYOR,MARVIN PRATT,63
93,2004,GENERAL,MAYOR,TOM BARRETT,573
93,2004,GENERAL,MAYOR,WRITE IN,8
94,2004,GENERAL,MAYOR,MARVIN PRATT,79
94,2004,GENERAL,MAYOR,TOM BARRETT,677
94,2004,GENERAL,MAYOR,WRITE IN,6
95,2004,GENERAL,MAYOR,MARVIN PRATT,269
95,2004,GENERAL,MAYOR,TOM BARRETT,251
95,2004,GENERAL,MAYOR,WRITE IN,1
96,2004,GENERAL,MAYOR,MARVIN PRATT,236
96,2004,GENERAL,MAYOR,TOM BARRETT,97
96,2004,GENERAL,MAYOR,WRITE IN,1
97,2004,GENERAL,MAYOR,MARVIN PRATT,500
97,2004,GENERAL,MAYOR,TOM BARRETT,20
97,2004,GENERAL,MAYOR,WRITE IN,0
98,2004,GENERAL,MAYOR,MARVIN PRATT,407
98,2004,GENERAL,MAYOR,TOM BARRETT,18
98,2004,GENERAL,MAYOR,WRITE IN,0
99,2004,GENERAL,MAYOR,MARVIN PRATT,463
99,2004,GENERAL,MAYOR,TOM BARRETT,3
99,2004,GENERAL,MAYOR,WRITE IN,1
100,2004,GENERAL,MAYOR,MARVIN PRATT,485
100,2004,GENERAL,MAYOR,TOM BARRETT,16
100,2004,GENERAL,MAYOR,WRITE IN,0
101,2004,GENERAL,MAYOR,MARVIN PRATT,514
101,2004,GENERAL,MAYOR,TOM BARRETT,24
101,2004,GENERAL,MAYOR,WRITE IN,0
102,2004,GENERAL,MAYOR,MARVIN PRATT,95
102,2004,GENERAL,MAYOR,TOM BARRETT,278
102,2004,GENERAL,MAYOR,WRITE IN,7
103,2004,GENERAL,MAYOR,MARVIN PRATT,207
103,2004,GENERAL,MAYOR,TOM BARRETT,351
103,2004,GENERAL,MAYOR,WRITE IN,5
104,2004,GENERAL,MAYOR,MARVIN PRATT,265
104,2004,GENERAL,MAYOR,TOM BARRETT,38
104,2004,GENERAL,MAYOR,WRITE IN,0
105,2004,GENERAL,MAYOR,MARVIN PRATT,199
105,2004,GENERAL,MAYOR,TOM BARRETT,320
105,2004,GENERAL,MAYOR,WRITE IN,4
106,2004,GENERAL,MAYOR,MARVIN PRATT,298
106,2004,GENERAL,MAYOR,TOM BARRETT,51
106,2004,GENERAL,MAYOR,WRITE IN,1
107,2004,GENERAL,MAYOR,MARVIN PRATT,376
107,2004,GENERAL,MAYOR,TOM BARRETT,19
107,2004,GENERAL,MAYOR,WRITE IN,1
108,2004,GENERAL,MAYOR,MARVIN PRATT,501
108,2004,GENERAL,MAYOR,TOM BARRETT,16
108,2004,GENERAL,MAYOR,WRITE IN,1
109,2004,GENERAL,MAYOR,MARVIN PRATT,660
109,2004,GENERAL,MAYOR,TOM BARRETT,34
109,2004,GENERAL,MAYOR,WRITE IN,0
110,2004,GENERAL,MAYOR,MARVIN PRATT,335
110,2004,GENERAL,MAYOR,TOM BARRETT,427
110,2004,GENERAL,MAYOR,WRITE IN,1
111,2004,GENERAL,MAYOR,MARVIN PRATT,318
111,2004,GENERAL,MAYOR,TOM BARRETT,59
111,2004,GENERAL,MAYOR,WRITE IN,1
112,2004,GENERAL,MAYOR,MARVIN PRATT,419
112,2004,GENERAL,MAYOR,TOM BARRETT,11
112,2004,GENERAL,MAYOR,WRITE IN,2
113,2004,GENERAL,MAYOR,MARVIN PRATT,617
113,2004,GENERAL,MAYOR,TOM BARRETT,166
113,2004,GENERAL,MAYOR,WRITE IN,1
114,2004,GENERAL,MAYOR,MARVIN PRATT,363
114,2004,GENERAL,MAYOR,TOM BARRETT,85
114,2004,GENERAL,MAYOR,WRITE IN,2
115,2004,GENERAL,MAYOR,MARVIN PRATT,720
115,2004,GENERAL,MAYOR,TOM BARRETT,97
115,2004,GENERAL,MAYOR,WRITE IN,2
116,2004,GENERAL,MAYOR,MARVIN PRATT,390
116,2004,GENERAL,MAYOR,TOM BARRETT,35
116,2004,GENERAL,MAYOR,WRITE IN,2
117,2004,GENERAL,MAYOR,MARVIN PRATT,663
117,2004,GENERAL,MAYOR,TOM BARRETT,121
117,2004,GENERAL,MAYOR,WRITE IN,1
118,2004,GENERAL,MAYOR,MARVIN PRATT,453
118,2004,GENERAL,MAYOR,TOM BARRETT,150
118,2004,GENERAL,MAYOR,WRITE IN,3
119,2004,GENERAL,MAYOR,MARVIN PRATT,274
119,2004,GENERAL,MAYOR,TOM BARRETT,200
119,2004,GENERAL,MAYOR,WRITE IN,3
120,2004,GENERAL,MAYOR,MARVIN PRATT,379
120,2004,GENERAL,MAYOR,TOM BARRETT,258
120,2004,GENERAL,MAYOR,WRITE IN,1
121,2004,GENERAL,MAYOR,MARVIN PRATT,214
121,2004,GENERAL,MAYOR,TOM BARRETT,81
121,2004,GENERAL,MAYOR,WRITE IN,3
122,2004,GENERAL,MAYOR,MARVIN PRATT,398
122,2004,GENERAL,MAYOR,TOM BARRETT,39
122,2004,GENERAL,MAYOR,WRITE IN,0
123,2004,GENERAL,MAYOR,MARVIN PRATT,492
123,2004,GENERAL,MAYOR,TOM BARRETT,119
123,2004,GENERAL,MAYOR,WRITE IN,0
124,2004,GENERAL,MAYOR,MARVIN PRATT,468
124,2004,GENERAL,MAYOR,TOM BARRETT,186
124,2004,GENERAL,MAYOR,WRITE IN,2
125,2004,GENERAL,MAYOR,MARVIN PRATT,296
125,2004,GENERAL,MAYOR,TOM BARRETT,278
125,2004,GENERAL,MAYOR,WRITE IN,2
126,2004,GENERAL,MAYOR,MARVIN PRATT,253
126,2004,GENERAL,MAYOR,TOM BARRETT,251
126,2004,GENERAL,MAYOR,WRITE IN,4
127,2004,GENERAL,MAYOR,MARVIN PRATT,433
127,2004,GENERAL,MAYOR,TOM BARRETT,106
127,2004,GENERAL,MAYOR,WRITE IN,4
128,2004,GENERAL,MAYOR,MARVIN PRATT,605
128,2004,GENERAL,MAYOR,TOM BARRETT,143
128,2004,GENERAL,MAYOR,WRITE IN,4
129,2004,GENERAL,MAYOR,MARVIN PRATT,424
129,2004,GENERAL,MAYOR,TOM BARRETT,49
129,2004,GENERAL,MAYOR,WRITE IN,0
130,2004,GENERAL,MAYOR,MARVIN PRATT,355
130,2004,GENERAL,MAYOR,TOM BARRETT,34
130,2004,GENERAL,MAYOR,WRITE IN,1
131,2004,GENERAL,MAYOR,MARVIN PRATT,186
131,2004,GENERAL,MAYOR,TOM BARRETT,15
131,2004,GENERAL,MAYOR,WRITE IN,0
132,2004,GENERAL,MAYOR,MARVIN PRATT,52
132,2004,GENERAL,MAYOR,TOM BARRETT,110
132,2004,GENERAL,MAYOR,WRITE IN,0
133,2004,GENERAL,MAYOR,MARVIN PRATT,54
133,2004,GENERAL,MAYOR,TOM BARRETT,73
133,2004,GENERAL,MAYOR,WRITE IN,0
134,2004,GENERAL,MAYOR,MARVIN PRATT,72
134,2004,GENERAL,MAYOR,TOM BARRETT,146
134,2004,GENERAL,MAYOR,WRITE IN,4
135,2004,GENERAL,MAYOR,MARVIN PRATT,126
135,2004,GENERAL,MAYOR,TOM BARRETT,328
135,2004,GENERAL,MAYOR,WRITE IN,2
136,2004,GENERAL,MAYOR,MARVIN PRATT,94
136,2004,GENERAL,MAYOR,TOM BARRETT,235
136,2004,GENERAL,MAYOR,WRITE IN,2
137,2004,GENERAL,MAYOR,MARVIN PRATT,83
137,2004,GENERAL,MAYOR,TOM BARRETT,240
137,2004,GENERAL,MAYOR,WRITE IN,0
138,2004,GENERAL,MAYOR,MARVIN PRATT,107
138,2004,GENERAL,MAYOR,TOM BARRETT,407
138,2004,GENERAL,MAYOR,WRITE IN,4
139,2004,GENERAL,MAYOR,MARVIN PRATT,40
139,2004,GENERAL,MAYOR,TOM BARRETT,88
139,2004,GENERAL,MAYOR,WRITE IN,2
140,2004,GENERAL,MAYOR,MARVIN PRATT,83
140,2004,GENERAL,MAYOR,TOM BARRETT,199
140,2004,GENERAL,MAYOR,WRITE IN,2
141,2004,GENERAL,MAYOR,MARVIN PRATT,63
141,2004,GENERAL,MAYOR,TOM BARRETT,170
141,2004,GENERAL,MAYOR,WRITE IN,1
142,2004,GENERAL,MAYOR,MARVIN PRATT,86
142,2004,GENERAL,MAYOR,TOM BARRETT,262
142,2004,GENERAL,MAYOR,WRITE IN,6
143,2004,GENERAL,MAYOR,MARVIN PRATT,49
143,2004,GENERAL,MAYOR,TOM BARRETT,240
143,2004,GENERAL,MAYOR,WRITE IN,3
144,2004,GENERAL,MAYOR,MARVIN PRATT,71
144,2004,GENERAL,MAYOR,TOM BARRETT,400
144,2004,GENERAL,MAYOR,WRITE IN,1
145,2004,GENERAL,MAYOR,MARVIN PRATT,53
145,2004,GENERAL,MAYOR,TOM BARRETT,560
145,2004,GENERAL,MAYOR,WRITE IN,5
146,2004,GENERAL,MAYOR,MARVIN PRATT,44
146,2004,GENERAL,MAYOR,TOM BARRETT,556
146,2004,GENERAL,MAYOR,WRITE IN,7
147,2004,GENERAL,MAYOR,MARVIN PRATT,440
147,2004,GENERAL,MAYOR,TOM BARRETT,295
147,2004,GENERAL,MAYOR,WRITE IN,4
148,2004,GENERAL,MAYOR,MARVIN PRATT,274
148,2004,GENERAL,MAYOR,TOM BARRETT,457
148,2004,GENERAL,MAYOR,WRITE IN,10
149,2004,GENERAL,MAYOR,MARVIN PRATT,555
149,2004,GENERAL,MAYOR,TOM BARRETT,461
149,2004,GENERAL,MAYOR,WRITE IN,4
150,2004,GENERAL,MAYOR,MARVIN PRATT,296
150,2004,GENERAL,MAYOR,TOM BARRETT,144
150,2004,GENERAL,MAYOR,WRITE IN,7
151,2004,GENERAL,MAYOR,MARVIN PRATT,212
151,2004,GENERAL,MAYOR,TOM BARRETT,210
151,2004,GENERAL,MAYOR,WRITE IN,1
152,2004,GENERAL,MAYOR,MARVIN PRATT,698
152,2004,GENERAL,MAYOR,TOM BARRETT,356
152,2004,GENERAL,MAYOR,WRITE IN,3
153,2004,GENERAL,MAYOR,MARVIN PRATT,138
153,2004,GENERAL,MAYOR,TOM BARRETT,181
153,2004,GENERAL,MAYOR,WRITE IN,1
154,2004,GENERAL,MAYOR,MARVIN PRATT,397
154,2004,GENERAL,MAYOR,TOM BARRETT,232
154,2004,GENERAL,MAYOR,WRITE IN,2
155,2004,GENERAL,MAYOR,MARVIN PRATT,411
155,2004,GENERAL,MAYOR,TOM BARRETT,255
155,2004,GENERAL,MAYOR,WRITE IN,1
156,2004,GENERAL,MAYOR,MARVIN PRATT,495
156,2004,GENERAL,MAYOR,TOM BARRETT,127
156,2004,GENERAL,MAYOR,WRITE IN,3
157,2004,GENERAL,MAYOR,MARVIN PRATT,459
157,2004,GENERAL,MAYOR,TOM BARRETT,217
157,2004,GENERAL,MAYOR,WRITE IN,8
158,2004,GENERAL,MAYOR,MARVIN PRATT,431
158,2004,GENERAL,MAYOR,TOM BARRETT,169
158,2004,GENERAL,MAYOR,WRITE IN,2
159,2004,GENERAL,MAYOR,MARVIN PRATT,497
159,2004,GENERAL,MAYOR,TOM BARRETT,162
159,2004,GENERAL,MAYOR,WRITE IN,0
160,2004,GENERAL,MAYOR,MARVIN PRATT,280
160,2004,GENERAL,MAYOR,TOM BARRETT,31
160,2004,GENERAL,MAYOR,WRITE IN,0
161,2004,GENERAL,MAYOR,MARVIN PRATT,336
161,2004,GENERAL,MAYOR,TOM BARRETT,66
161,2004,GENERAL,MAYOR,WRITE IN,2
162,2004,GENERAL,MAYOR,MARVIN PRATT,467
162,2004,GENERAL,MAYOR,TOM BARRETT,118
162,2004,GENERAL,MAYOR,WRITE IN,6
163,2004,GENERAL,MAYOR,MARVIN PRATT,324
163,2004,GENERAL,MAYOR,TOM BARRETT,102
163,2004,GENERAL,MAYOR,WRITE IN,1
164,2004,GENERAL,MAYOR,MARVIN PRATT,379
164,2004,GENERAL,MAYOR,TOM BARRETT,13
164,2004,GENERAL,MAYOR,WRITE IN,1
165,2004,GENERAL,MAYOR,MARVIN PRATT,611
165,2004,GENERAL,MAYOR,TOM BARRETT,25
165,2004,GENERAL,MAYOR,WRITE IN,0
166,2004,GENERAL,MAYOR,MARVIN PRATT,535
166,2004,GENERAL,MAYOR,TOM BARRETT,10
166,2004,GENERAL,MAYOR,WRITE IN,1
167,2004,GENERAL,MAYOR,MARVIN PRATT,474
167,2004,GENERAL,MAYOR,TOM BARRETT,12
167,2004,GENERAL,MAYOR,WRITE IN,0
168,2004,GENERAL,MAYOR,MARVIN PRATT,602
168,2004,GENERAL,MAYOR,TOM BARRETT,28
168,2004,GENERAL,MAYOR,WRITE IN,2
