ward,year,race,office,preference,ballots
1,2012,GENERAL,MAYOR,TOMBARRET,256
1,2012,GENERAL,MAYOR,EDWARDCMCDONALD,107
1,2012,GENERAL,MAYOR,WRITEIN,3
2,2012,GENERAL,MAYOR,TOMBARRET,43
2,2012,GENERAL,MAYOR,EDWARDCMCDONALD,21
2,2012,GENERAL,MAYOR,WRITEIN,0
3,2012,GENERAL,MAYOR,TOMBARRET,285
3,2012,GENERAL,MAYOR,EDWARDCMCDONALD,99
3,2012,GENERAL,MAYOR,WRITEIN,2
4,2012,GENERAL,MAYOR,TOMBARRET,443
4,2012,GENERAL,MAYOR,EDWARDCMCDONALD,160
4,2012,GENERAL,MAYOR,WRITEIN,1
5,2012,GENERAL,MAYOR,TOMBARRET,209
5,2012,GENERAL,MAYOR,EDWARDCMCDONALD,92
5,2012,GENERAL,MAYOR,WRITEIN,3
6,2012,GENERAL,MAYOR,TOMBARRET,389
6,2012,GENERAL,MAYOR,EDWARDCMCDONALD,171
6,2012,GENERAL,MAYOR,WRITEIN,3
7,2012,GENERAL,MAYOR,TOMBARRET,120
7,2012,GENERAL,MAYOR,EDWARDCMCDONALD,76
7,2012,GENERAL,MAYOR,WRITEIN,3
8,2012,GENERAL,MAYOR,TOMBARRET,351
8,2012,GENERAL,MAYOR,EDWARDCMCDONALD,149
8,2012,GENERAL,MAYOR,WRITEIN,6
9,2012,GENERAL,MAYOR,TOMBARRET,237
9,2012,GENERAL,MAYOR,EDWARDCMCDONALD,75
9,2012,GENERAL,MAYOR,WRITEIN,2
10,2012,GENERAL,MAYOR,TOMBARRET,332
10,2012,GENERAL,MAYOR,EDWARDCMCDONALD,161
10,2012,GENERAL,MAYOR,WRITEIN,2
11,2012,GENERAL,MAYOR,TOMBARRET,247
11,2012,GENERAL,MAYOR,EDWARDCMCDONALD,89
11,2012,GENERAL,MAYOR,WRITEIN,0
12,2012,GENERAL,MAYOR,TOMBARRET,212
12,2012,GENERAL,MAYOR,EDWARDCMCDONALD,75
12,2012,GENERAL,MAYOR,WRITEIN,1
13,2012,GENERAL,MAYOR,TOMBARRET,122
13,2012,GENERAL,MAYOR,EDWARDCMCDONALD,52
13,2012,GENERAL,MAYOR,WRITEIN,0
14,2012,GENERAL,MAYOR,TOMBARRET,254
14,2012,GENERAL,MAYOR,EDWARDCMCDONALD,64
14,2012,GENERAL,MAYOR,WRITEIN,0
15,2012,GENERAL,MAYOR,TOMBARRET,239
15,2012,GENERAL,MAYOR,EDWARDCMCDONALD,132
15,2012,GENERAL,MAYOR,WRITEIN,6
16,2012,GENERAL,MAYOR,TOMBARRET,299
16,2012,GENERAL,MAYOR,EDWARDCMCDONALD,131
16,2012,GENERAL,MAYOR,WRITEIN,1
17,2012,GENERAL,MAYOR,TOMBARRET,172
17,2012,GENERAL,MAYOR,EDWARDCMCDONALD,81
17,2012,GENERAL,MAYOR,WRITEIN,1
18,2012,GENERAL,MAYOR,TOMBARRET,178
18,2012,GENERAL,MAYOR,EDWARDCMCDONALD,92
18,2012,GENERAL,MAYOR,WRITEIN,2
19,2012,GENERAL,MAYOR,TOMBARRET,135
19,2012,GENERAL,MAYOR,EDWARDCMCDONALD,56
19,2012,GENERAL,MAYOR,WRITEIN,1
20,2012,GENERAL,MAYOR,TOMBARRET,207
20,2012,GENERAL,MAYOR,EDWARDCMCDONALD,91
20,2012,GENERAL,MAYOR,WRITEIN,4
21,2012,GENERAL,MAYOR,TOMBARRET,180
21,2012,GENERAL,MAYOR,EDWARDCMCDONALD,76
21,2012,GENERAL,MAYOR,WRITEIN,0
22,2012,GENERAL,MAYOR,TOMBARRET,137
22,2012,GENERAL,MAYOR,EDWARDCMCDONALD,61
22,2012,GENERAL,MAYOR,WRITEIN,0
23,2012,GENERAL,MAYOR,TOMBARRET,80
23,2012,GENERAL,MAYOR,EDWARDCMCDONALD,29
23,2012,GENERAL,MAYOR,WRITEIN,0
24,2012,GENERAL,MAYOR,TOMBARRET,39
24,2012,GENERAL,MAYOR,EDWARDCMCDONALD,13
24,2012,GENERAL,MAYOR,WRITEIN,0
25,2012,GENERAL,MAYOR,TOMBARRET,140
25,2012,GENERAL,MAYOR,EDWARDCMCDONALD,48
25,2012,GENERAL,MAYOR,WRITEIN,2
26,2012,GENERAL,MAYOR,TOMBARRET,124
26,2012,GENERAL,MAYOR,EDWARDCMCDONALD,51
26,2012,GENERAL,MAYOR,WRITEIN,0
27,2012,GENERAL,MAYOR,TOMBARRET,144
27,2012,GENERAL,MAYOR,EDWARDCMCDONALD,46
27,2012,GENERAL,MAYOR,WRITEIN,0
28,2012,GENERAL,MAYOR,TOMBARRET,21
