ward,reg_voters,date
1,1394,2022-02-01
2,443,2022-02-01
3,982,2022-02-01
4,1670,2022-02-01
5,876,2022-02-01
6,1273,2022-02-01
7,659,2022-02-01
8,1340,2022-02-01
9,829,2022-02-01
10,1331,2022-02-01
11,1166,2022-02-01
12,997,2022-02-01
13,595,2022-02-01
14,1151,2022-02-01
15,807,2022-02-01
16,1563,2022-02-01
17,682,2022-02-01
18,960,2022-02-01
19,786,2022-02-01
20,1072,2022-02-01
21,539,2022-02-01
22,849,2022-02-01
23,604,2022-02-01
24,324,2022-02-01
25,763,2022-02-01
26,465,2022-02-01
27,712,2022-02-01
28,862,2022-02-01
29,792,2022-02-01
30,642,2022-02-01
31,857,2022-02-01
32,1034,2022-02-01
33,2215,2022-02-01
34,646,2022-02-01
35,1542,2022-02-01
36,879,2022-02-01
37,822,2022-02-01
38,643,2022-02-01
39,802,2022-02-01
40,748,2022-02-01
41,1030,2022-02-01
42,1057,2022-02-01
43,1037,2022-02-01
44,1029,2022-02-01
45,1024,2022-02-01
46,506,2022-02-01
47,606,2022-02-01
48,1464,2022-02-01
49,1003,2022-02-01
50,729,2022-02-01
51,854,2022-02-01
52,804,2022-02-01
53,756,2022-02-01
54,917,2022-02-01
55,707,2022-02-01
56,1531,2022-02-01
57,890,2022-02-01
58,804,2022-02-01
59,678,2022-02-01
60,931,2022-02-01
61,1145,2022-02-01
62,1109,2022-02-01
63,671,2022-02-01
64,628,2022-02-01
65,1126,2022-02-01
66,921,2022-02-01
67,1258,2022-02-01
68,757,2022-02-01
69,955,2022-02-01
70,1117,2022-02-01
71,850,2022-02-01
72,785,2022-02-01
73,763,2022-02-01
74,711,2022-02-01
75,1203,2022-02-01
76,1235,2022-02-01
77,1276,2022-02-01
78,861,2022-02-01
79,1336,2022-02-01
80,730,2022-02-01
81,764,2022-02-01
82,705,2022-02-01
83,1645,2022-02-01
84,907,2022-02-01
85,1495,2022-02-01
86,910,2022-02-01
87,932,2022-02-01
88,1461,2022-02-01
89,1158,2022-02-01
90,1041,2022-02-01
91,467,2022-02-01
92,713,2022-02-01
93,1092,2022-02-01
94,902,2022-02-01
95,725,2022-02-01
96,1174,2022-02-01
97,709,2022-02-01
98,1071,2022-02-01
99,1267,2022-02-01
100,803,2022-02-01
101,1256,2022-02-01
102,492,2022-02-01
103,608,2022-02-01
104,1092,2022-02-01
105,917,2022-02-01
106,617,2022-02-01
107,542,2022-02-01
108,779,2022-02-01
109,619,2022-02-01
110,578,2022-02-01
111,983,2022-02-01
112,515,2022-02-01
113,591,2022-02-01
114,502,2022-02-01
115,698,2022-02-01
116,596,2022-02-01
117,788,2022-02-01
118,842,2022-02-01
119,1342,2022-02-01
120,687,2022-02-01
121,1139,2022-02-01
122,972,2022-02-01
123,1349,2022-02-01
124,1435,2022-02-01
125,1063,2022-02-01
126,418,2022-02-01
127,1194,2022-02-01
