ward,reg_voters,date
283,865,2022-01-01
284,984,2022-01-01
285,900,2022-01-01
286,777,2022-01-01
287,971,2022-01-01
288,1254,2022-01-01
289,1228,2022-01-01
290,846,2022-01-01
291,824,2022-01-01
292,828,2022-01-01
293,1198,2022-01-01
294,799,2022-01-01
295,1311,2022-01-01
296,1223,2022-01-01
297,407,2022-01-01
298,732,2022-01-01
299,977,2022-01-01
300,1076,2022-01-01
301,781,2022-01-01
302,941,2022-01-01
303,807,2022-01-01
304,1387,2022-01-01
305,331,2022-01-01
306,260,2022-01-01
307,391,2022-01-01
308,317,2022-01-01
309,725,2022-01-01
310,1115,2022-01-01
311,817,2022-01-01
312,452,2022-01-01
313,617,2022-01-01
314,575,2022-01-01
315,1565,2022-01-01
