Ward,Chris Larson,David Crowley,Write In,Over Votes,Under Votes
297,368,155,2,0,21
298,271,121,1,0,19
299,322,197,3,0,33
300,561,229,1,0,36
301,358,195,2,0,24
302,212,133,0,0,23
303,380,225,1,0,43
304,248,116,2,0,25
305,230,137,1,0,26
306,196,85,0,0,21
307,172,112,1,0,29
308,95,71,0,0,19
309,288,154,7,0,22
310,47,28,0,0,14
311,120,97,2,0,16
312,251,174,1,0,19
313,426,246,2,0,55
314,147,133,1,0,26
315,305,175,6,0,23
316,165,96,3,0,19
317,241,126,4,0,25
318,0,0,0,0,0
319,0,0,0,0,0
320,4,7,0,0,1
321,17,16,0,0,4
322,18,11,0,0,3
323,35,14,0,0,2
324,15,8,0,0,5
325,146,57,1,0,9
326,0,0,0,0,1
327,0,0,0,0,0
