Ward,Tulsi Gabbard,Amy Klobuchar,John Delaney,Deval Patrick,Bernie Sanders,Andrew Yang,Pete Buttigieg,Tom Steyer,Elizabeth Warren,Michael Bennet,Michael R Bloomberg,Joe Biden,Uninstructed Delegation,Write In ,Over Votes,Under Votes 
226,0,2,1,0,29,0,0,0,1,0,2,15,1,0,0,2
227,0,1,0,0,54,2,1,1,1,0,1,69,0,0,0,1
228,0,0,0,0,37,0,0,0,0,0,0,36,1,0,0,0
229,1,0,1,0,44,1,0,0,1,0,3,17,0,1,0,1
230,0,1,1,0,46,0,0,0,1,0,1,38,0,0,0,0
231,0,1,0,0,32,0,0,0,0,0,1,24,1,0,0,0
232,0,0,1,0,27,0,0,0,3,0,1,11,0,0,0,0
233,0,0,0,0,29,0,0,0,0,0,1,9,0,0,0,0
234,0,0,0,0,75,1,0,0,3,0,0,33,0,0,0,2
235,1,0,0,0,350,0,4,0,12,0,2,282,3,3,2,2
236,1,0,0,0,41,0,0,0,6,1,1,55,0,0,0,3
237,0,0,0,0,79,0,0,0,1,0,2,36,0,0,0,1
238,0,0,0,0,59,1,0,0,0,1,1,29,0,1,0,0
239,2,0,0,0,48,0,1,0,1,0,2,43,0,0,0,1
240,0,0,0,0,95,0,0,0,3,0,2,67,2,0,0,0
241,3,0,0,0,388,1,2,0,9,1,0,190,1,0,0,2
242,2,2,0,0,266,1,1,0,11,0,0,139,0,1,0,1
243,5,2,0,0,232,3,2,0,10,0,2,340,0,1,0,8
244,4,2,0,1,281,2,3,0,18,0,2,192,0,0,0,1
245,3,0,0,0,203,2,2,0,2,0,2,182,2,4,0,0
246,0,1,0,0,388,0,3,2,23,0,2,269,2,2,2,1
247,1,1,0,0,216,1,0,0,7,0,2,96,0,1,0,2
248,9,1,0,0,428,3,1,0,15,0,2,182,1,0,0,0
249,0,0,0,0,52,0,0,0,2,0,0,29,1,0,0,0
250,0,2,0,0,52,0,0,0,0,2,0,20,0,0,0,0
251,0,0,0,0,31,1,0,0,0,0,1,12,0,0,0,2
252,0,0,0,0,41,1,1,0,2,0,3,30,0,0,0,0
253,0,0,1,0,19,0,0,0,1,0,0,7,0,0,0,0
254,0,0,0,0,13,0,0,0,0,0,0,2,0,0,0,1
255,0,0,1,0,25,1,1,1,3,0,0,14,0,0,0,1
256,0,0,0,0,31,0,0,1,1,0,0,24,0,0,0,0
257,2,0,0,0,73,1,0,0,0,1,0,55,0,0,0,2
