Ward,Registered Voters -Total,Ballots Cast - Total,Ballots Cast - Blank,Voter Turnout - Total Percent
256,415,30,0,7.23
257,827,95,0,11.49
258,891,158,0,17.73
259,579,105,0,18.13
260,430,94,0,21.86
261,565,165,0,29.2
262,1138,300,0,26.36
263,630,145,0,23.02
264,1233,339,1,27.49
265,669,172,0,25.71
266,765,185,0,24.18
267,664,154,0,23.19
268,1522,347,1,22.8
269,941,252,0,26.78
270,866,239,0,27.6
271,1498,413,0,27.57
272,1123,291,0,25.91
273,634,143,0,22.56
274,640,147,0,22.97
275,1549,308,0,19.88
276,1321,452,0,34.22
277,1372,327,0,23.83
278,801,165,0,20.6
279,1050,271,0,25.81
280,1792,518,0,28.91
281,838,202,0,24.11
282,414,43,1,10.39
283,831,120,0,14.44
284,813,118,0,14.51
285,205,30,0,14.63
286,498,109,0,21.89
287,543,132,0,24.31
288,1183,250,0,21.13
289,718,173,0,24.09
290,634,80,0,12.62
291,621,101,0,16.26
292,696,193,0,27.73
293,873,263,0,30.13
294,651,256,0,39.32
295,826,264,1,31.96
296,1032,395,1,38.28
297,946,399,0,42.18
298,777,308,0,39.64
299,921,365,0,39.63
300,1311,621,0,47.37
301,1249,438,0,35.07
302,821,270,0,32.89
303,1241,454,0,36.58
304,1004,245,1,24.4
305,1036,244,0,23.55
306,845,241,1,28.52
307,843,210,0,24.91
308,813,112,0,13.78
309,1242,290,0,23.35
310,383,59,0,15.4
311,720,161,0,22.36
312,930,282,0,30.32
313,1874,472,0,25.19
314,739,192,0,25.98
315,1368,347,0,25.37
316,817,196,0,23.99
317,944,285,0,30.19
318,0,0,0,0
319,0,0,0,0
320,54,8,0,14.81
321,283,28,0,9.89
322,156,20,0,12.82
323,322,28,0,8.7
324,148,11,0,7.43
325,444,120,0,27.03
326,5,0,0,0
327,0,0,0,0
