Ward,Purnima Nath ,"Theodore A. Lipscomb, Sr.",Chris Larson,David Crowley,WRITE-IN ,OVER VOTES,UNDER VOTES
210,40,30,47,60,0,0,19
211,31,21,66,48,1,0,14
212,17,27,70,45,0,0,6
213,25,33,89,61,1,0,12
214,17,22,48,44,0,0,8
215,6,10,25,18,0,0,7
216,2,8,20,22,1,0,4
217,11,13,64,28,0,0,5
218,25,22,81,33,0,0,15
219,5,10,61,23,1,0,4
220,12,13,57,30,0,0,1
221,32,43,114,75,1,0,31
222,17,9,36,26,0,0,9
223,16,10,58,29,1,0,7
224,6,5,21,18,0,0,2
225,3,11,23,18,1,0,3
226,5,4,17,10,0,0,4
227,11,29,53,43,1,0,17
228,7,8,15,10,0,0,1
229,3,1,15,7,0,0,0
230,5,13,34,39,1,0,7
231,6,2,11,4,1,0,2
232,3,4,2,8,0,0,2
233,1,1,7,9,0,0,0
234,12,8,33,27,0,0,4
235,66,45,158,109,2,0,20
236,2,1,40,21,1,0,3
237,9,7,40,20,0,0,6
238,11,10,16,7,0,0,3
239,7,12,27,20,0,0,4
240,7,7,43,35,0,0,4
241,52,27,218,94,0,0,19
242,31,25,191,63,1,0,16
243,41,62,330,90,1,0,29
244,43,33,234,77,0,0,21
245,33,30,204,76,2,0,18
246,46,49,375,103,1,0,21
247,27,15,150,64,0,0,16
248,49,42,263,127,2,0,32
249,5,8,29,15,1,0,3
250,2,6,28,15,1,0,3
251,5,5,22,12,0,0,3
252,9,11,23,18,0,0,3
253,2,4,9,6,0,0,3
254,4,2,3,7,1,0,1
255,2,9,10,11,0,0,4
256,4,4,12,8,0,0,2
257,11,19,43,15,2,0,5
258,27,16,75,32,0,0,8
259,12,21,50,18,1,0,3
260,8,16,44,23,0,0,3
261,22,31,62,36,1,0,13
262,47,29,134,67,2,0,21
263,20,25,50,40,0,0,10
264,55,48,129,74,1,1,31
265,16,29,73,41,0,0,13
266,31,29,65,44,0,0,16
267,16,19,71,35,0,0,13
268,56,60,132,77,3,0,19
269,24,54,86,70,0,0,18
270,36,58,78,42,2,0,23
271,43,77,153,98,2,0,40
272,49,53,92,58,0,0,39
273,21,24,46,38,1,0,13
274,18,18,61,36,0,0,14
275,44,43,113,77,3,0,28
276,50,84,175,101,5,0,37
277,57,41,123,83,1,0,22
278,30,42,50,28,0,0,15
279,40,38,104,67,0,0,22
280,50,63,223,135,0,0,47
281,24,31,96,37,1,0,13
282,3,6,20,11,1,0,2
283,12,19,53,34,0,0,2
284,13,17,50,27,2,0,9
285,3,5,12,9,0,0,1
286,11,22,53,18,0,0,5
287,18,10,51,39,2,0,12
288,25,40,119,54,4,0,8
289,22,17,78,36,2,0,18
290,18,10,30,18,0,0,4
291,13,15,42,27,0,0,4
292,21,25,86,41,1,0,19
293,26,30,157,41,1,0,8
294,26,41,128,47,0,0,14
295,31,31,135,46,3,0,18
296,47,45,221,62,1,0,19
297,24,38,244,80,1,0,12
298,18,30,172,74,0,0,14
299,34,31,190,85,1,0,24
300,39,46,382,131,3,0,20
301,58,48,228,82,1,0,21
302,32,28,128,65,0,0,17
303,51,58,224,102,0,0,19
304,28,29,140,36,1,0,11
305,27,47,110,48,0,0,12
306,22,53,101,52,0,0,13
307,32,37,79,45,1,0,16
308,11,23,43,32,2,0,1
309,53,43,135,48,3,0,8
310,12,8,27,8,0,0,4
311,28,24,62,33,2,0,12
312,38,55,129,50,0,0,10
313,72,70,208,92,3,0,27
314,25,23,86,47,1,0,10
315,29,60,164,75,1,0,18
316,21,37,100,28,1,0,9
317,25,36,130,80,1,0,13
318,0,0,0,0,0,0,0
319,0,0,0,0,0,0,0
320,0,2,2,4,0,0,0
321,3,3,14,8,0,0,0
322,1,1,13,4,0,0,1
323,4,2,18,3,0,0,1
324,2,2,3,4,0,0,0
325,9,10,70,27,0,0,4
326,0,0,0,0,0,0,0
327,0,0,0,0,0,0,0
