Ward,Paul Rasky,Tom Barrett,T. Anthony Zielinski,Lena Taylor,WRITE-IN ,OVER VOTES,UNDER VOTES
196,4,45,11,50,0,0,1
197,1,33,7,33,0,0,2
198,2,60,8,62,1,0,5
199,1,81,11,121,2,0,2
200,2,34,11,35,1,0,2
201,3,32,6,30,0,0,1
202,9,161,28,61,3,0,5
203,7,289,38,74,3,0,7
204,6,228,29,40,3,0,1
205,11,171,45,48,2,0,2
206,9,208,48,26,0,0,7
207,17,101,35,29,4,0,5
208,11,118,58,38,1,0,7
209,13,109,70,31,3,0,12
210,17,79,60,33,2,0,5
211,15,88,36,34,3,0,5
212,14,78,44,25,1,0,3
213,14,122,40,40,3,0,2
214,4,84,23,22,0,0,6
215,6,34,13,12,0,0,1
216,3,33,15,5,1,0,0
217,6,61,31,20,2,0,1
218,10,97,43,22,2,0,2
219,6,60,12,18,3,0,5
220,1,73,14,21,0,0,4
221,11,144,87,40,2,0,12
222,4,58,12,20,0,0,3
223,7,67,23,19,1,0,4
224,1,25,9,13,2,0,2
225,3,27,10,18,0,0,1
226,1,24,4,10,0,0,1
227,6,86,17,42,0,0,3
228,0,26,8,7,0,0,0
229,1,11,4,10,0,0,0
230,6,49,11,31,1,0,1
231,1,9,5,9,0,0,2
232,0,12,5,2,0,0,0
233,0,11,3,3,0,0,1
234,1,50,9,22,0,0,2
235,10,270,30,77,6,0,7
236,1,33,16,17,1,0,0
237,6,48,12,14,2,0,0
238,2,24,13,8,0,0,0
239,4,33,8,24,0,0,1
240,7,43,13,31,1,0,1
241,10,244,51,97,0,0,8
242,9,208,45,60,2,0,3
243,9,375,86,73,4,0,6
244,10,277,67,53,0,0,1
245,4,240,71,41,4,0,3
246,11,392,92,89,1,0,10
247,2,163,47,53,0,0,7
248,9,285,71,140,4,0,6
249,2,22,24,11,1,0,1
250,3,24,14,13,0,0,1
251,2,16,15,11,1,0,2
252,2,31,17,13,1,0,0
253,1,15,5,3,0,0,0
254,1,6,9,0,0,0,2
255,4,15,11,6,0,0,0
256,0,15,5,10,0,0,0
257,7,53,18,15,1,0,1
258,10,73,46,27,0,0,2
259,3,49,29,21,2,0,1
260,4,44,29,15,0,0,2
261,11,82,31,33,1,0,7
262,9,160,77,37,9,0,8
263,8,77,34,22,1,0,3
264,23,159,108,39,0,0,10
265,8,72,75,14,0,0,3
266,15,63,83,20,0,0,4
267,3,78,55,14,0,0,4
268,17,160,132,32,1,0,5
269,14,117,98,18,3,0,2
270,27,112,67,24,4,0,5
271,18,186,141,48,3,0,17
272,16,97,142,26,1,0,9
273,5,59,66,10,1,0,2
274,15,54,59,15,1,0,3
275,29,127,101,36,4,0,11
276,19,193,172,48,6,0,14
277,15,130,138,29,4,0,11
278,18,65,59,18,3,0,2
279,20,107,94,34,3,0,13
280,19,271,131,75,4,0,18
281,6,96,67,24,2,0,7
282,4,21,8,7,1,0,2
283,8,54,33,22,1,0,2
284,5,71,19,17,2,0,4
285,0,16,10,3,0,0,1
286,3,57,32,14,0,0,3
287,8,60,43,14,6,0,1
288,6,132,74,32,4,0,2
289,7,81,63,18,3,0,1
290,4,34,25,15,0,0,2
